"V1","V5","V6","V12","V13","V14"
"m.28997.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.36680.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.25334.p1","PF00751","DM DNA binding domain","IPR001275","DM DNA-binding domain","GO:0006355|GO:0043565"
"m.11871.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.42244.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.17238.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.10965.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.20431.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.34478.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.42956.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.25041.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.8721.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.7861.p1","PF02891","MIZ/SP-RING zinc finger","IPR004181","Zinc finger, MIZ-type","GO:0008270"
"m.3931.p1","PF16423","Transcription factor COE1 helix-loop-helix domain","IPR032201","Transcription factor COE, helix-loop-helix domain","-"
"m.11015.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.23630.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.22850.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.32627.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.18929.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4642.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.20461.p1","PF02135","TAZ zinc finger","IPR000197","Zinc finger, TAZ-type","-"
"m.746.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.39593.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.10132.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.5580.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.30376.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.5231.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.43439.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.5327.p1","PF02135","TAZ zinc finger","IPR000197","Zinc finger, TAZ-type","-"
"m.1617.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.19137.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.21493.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.3225.p1","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.16694.p1","PF00870","P53 DNA-binding domain","IPR011615","p53, DNA-binding domain","GO:0000976"
"m.2120.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.9605.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.41516.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.7668.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.20458.p1","PF02135","TAZ zinc finger","IPR000197","Zinc finger, TAZ-type","-"
"m.2780.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.3288.p1","PF06320","GCN5-like protein 1 (GCN5L1)","IPR009395","Biogenesis of lysosome-related organelles complex 1 subunit 1","GO:0031083"
"m.3081.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.372.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.18534.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.33473.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.22662.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.34818.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.245.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.18239.p1","PF08711","TFIIS helical bundle-like domain","IPR017923","Transcription factor IIS, N-terminal","GO:0005634"
"m.28267.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.1083.p1","PF09341","Transcription factor Pcc1","IPR015419","CTAG/Pcc1 family","-"
"m.14090.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.647.p1","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.6527.p1","PF00292","'Paired box' domain","IPR001523","Paired domain","GO:0003677|GO:0006355"
"m.9781.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.13371.p1","PF05225","helix-turn-helix, Psq domain","IPR007889","DNA binding HTH domain, Psq-type","GO:0003677"
"m.37435.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.3364.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.1471.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.33219.p1","PF00751","DM DNA binding domain","IPR001275","DM DNA-binding domain","GO:0006355|GO:0043565"
"m.13431.p1","PF00382","Transcription factor TFIIB repeat","IPR013150","Transcription factor TFIIB, cyclin-like domain","GO:0017025"
"m.12737.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.12757.p1","SSF103637","CCHHC domain","IPR036060","Zinc finger, C2H2C-type superfamily","GO:0005634|GO:0006355|GO:0008270"
"m.4506.p1","SSF63763","SAND domain-like","IPR010919","SAND-like domain superfamily","-"
"m.26930.p1","PF08711","TFIIS helical bundle-like domain","IPR017923","Transcription factor IIS, N-terminal","GO:0005634"
"m.32641.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.12001.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.28534.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.3651.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.33175.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.21835.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.26577.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.3921.p1","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.30372.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.21726.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.24694.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.40294.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.43590.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.29423.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.36253.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.28195.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.15744.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.41157.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.639.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.3245.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.14389.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.13990.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.25341.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2612.p1","PF01167","Tub family","IPR000007","Tubby, C-terminal","-"
"m.16030.p1","PF00320","GATA zinc finger","IPR000679","Zinc finger, GATA-type","GO:0006355|GO:0008270|GO:0043565"
"m.39034.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.4844.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.4517.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4214.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.12782.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.13700.p1","SSF50916","Rap30/74 interaction domains","IPR011039","Transcription Factor IIF, Rap30/Rap74, interaction","GO:0006367"
"m.12197.p1","PF00313","'Cold-shock' DNA-binding domain","IPR002059","Cold-shock protein, DNA-binding","GO:0003676"
"m.42777.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.21229.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.41514.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.3758.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.1191.p1","SSF82927","Cysteine-rich DNA binding domain, (DM domain)","IPR036407","DM DNA-binding domain superfamily","GO:0006355|GO:0043565"
"m.37546.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.42190.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.22275.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.27401.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.28804.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.7415.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.12270.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.15550.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.30378.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.43543.p1","PF03131","bZIP Maf transcription factor","IPR004826","Basic leucine zipper domain, Maf-type","GO:0003677|GO:0006355"
"m.21255.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.29859.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.18720.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.19526.p1","PF00352","Transcription factor TFIID (or TATA-binding protein, TBP)","IPR000814","TATA-box binding protein","GO:0003677|GO:0006352"
"m.4908.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.11951.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.2805.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.20787.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.23055.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.39757.p1","PF00352","Transcription factor TFIID (or TATA-binding protein, TBP)","IPR000814","TATA-box binding protein","GO:0003677|GO:0006352"
"m.26332.p1","SSF46955","Putative DNA-binding domain","IPR009061","Putative DNA-binding domain superfamily","-"
"m.11657.p1","SSF54518","Tubby C-terminal domain-like","IPR025659","Tubby-like, C-terminal","-"
"m.6387.p1","PF02186","TFIIE beta subunit core domain","IPR003166","Transcription factor TFIIE beta subunit, DNA-binding domain","GO:0006367"
"m.457.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.31505.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.13207.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.17879.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.4313.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.2606.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.30373.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.16505.p1","PF00319","SRF-type transcription factor (DNA-binding and dimerisation domain)","IPR002100","Transcription factor, MADS-box","GO:0003677|GO:0046983"
"m.10842.p1","PF12129","Male germ-cell putative homeodomain transcription factor","IPR021980","Transcription factor homeodomain, male germ-cell","-"
"m.24202.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.38309.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.36221.p1","SSF54518","Tubby C-terminal domain-like","IPR025659","Tubby-like, C-terminal","-"
"m.5701.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.41513.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.1393.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.8446.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.7148.p2","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.15522.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.21622.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.43700.p1","PF10163","Transcription factor e(y)2","IPR018783","Transcription factor, enhancer of yellow 2","GO:0000124|GO:0003713|GO:0005643|GO:0006406|GO:0045893"
"m.41858.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.19547.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.37383.p1","PF02891","MIZ/SP-RING zinc finger","IPR004181","Zinc finger, MIZ-type","GO:0008270"
"m.31790.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.11500.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.10950.p1","SSF56366","SMAD MH1 domain","IPR036578","SMAD MH1 domain superfamily","GO:0007179"
"m.13018.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.4669.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.9225.p1","PF00313","'Cold-shock' DNA-binding domain","IPR002059","Cold-shock protein, DNA-binding","GO:0003676"
"m.2060.p1","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.15162.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.10144.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.20199.p1","PF03859","CG-1 domain","IPR005559","CG-1 DNA-binding domain","GO:0003677"
"m.10938.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.16579.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.3108.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.38627.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2071.p1","PF09748","Transcription factor subunit Med10 of Mediator complex","IPR019145","Mediator complex, subunit Med10","GO:0003712|GO:0006357|GO:0016592"
"m.293.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.5862.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.3396.p1","PF02045","CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B","IPR001289","Nuclear transcription factor Y subunit A","GO:0003700|GO:0006355"
"m.642.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.20903.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.16857.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.10313.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.31143.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6356.p2","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.12429.p1","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.1208.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.13142.p1","PF00157","Pou domain - N-terminal to homeobox domain","IPR000327","POU-specific domain","GO:0003700|GO:0006355"
"m.24791.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.1594.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6369.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.41604.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.11142.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.5813.p1","PF01530","Zinc finger, C2HC type","IPR002515","Zinc finger, C2H2C-type","GO:0005634|GO:0006355|GO:0008270"
"m.10845.p1","PF12129","Male germ-cell putative homeodomain transcription factor","IPR021980","Transcription factor homeodomain, male germ-cell","-"
"m.102.p1","PF01096","Transcription factor S-II (TFIIS)","IPR001222","Zinc finger, TFIIS-type","GO:0003676|GO:0006351|GO:0008270"
"m.39997.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
